Attendance,Date,Home,Away,Home_Avg_Attendance,Home_Last3_Avg,Matchup_Avg_Attendance,Home_Is_Big3,Away_Is_Big3,Day_Type,Round_Num
7852,2023-04-22,Pacos de Ferreira,FC Porto,4328,4666,4328,0,1,weekend,29
4044,2023-04-22,Famalicao,Maritimo,3706,3600,3706,0,0,weekend,29
1278,2023-04-23,Portimonense,Gil Vicente,1894,2335,1894,0,0,weekend,29
58036,2023-04-23,Benfica,Estoril,56320,59466,56320,1,0,weekend,29
633,2023-04-23,Santa Clara,Chaves,2491,1104,2491,0,0,weekend,29
1742,2023-04-23,Arouca,Vizela,1670,1279,1670,0,0,weekend,29
21893,2023-04-24,Vitoria de Guimaraes,Sporting CP,14944,18524,14944,0,1,weekday,29
2298,2023-04-28,Rio Ave,Arouca,2861,3307,2861,0,0,weekend,30
9274,2023-04-29,Maritimo,Vitoria de Guimaraes,8325,9773,8325,0,0,weekend,30
16005,2023-04-29,Braga,Portimonense,15457,18653,15457,0,0,weekend,30
2451,2023-04-29,Chaves,Casa Pia AC,4155,5684,4155,0,0,weekend,30
4423,2023-04-29,Vizela,Pacos de Ferreira,3273,3364,3273,0,0,weekend,30
11694,2023-04-29,Gil Vicente,Benfica,4268,5693,4268,0,1,weekend,30
4198,2023-04-30,Estoril,Santa Clara,2367,1835,2367,0,0,weekend,30
47925,2023-04-30,FC Porto,Boavista,41280,35209,41280,1,0,weekend,30
29443,2023-04-30,Sporting CP,Famalicao,28718,28241,28718,1,0,weekend,30
556,2023-05-05,Casa Pia AC,Portimonense,3821,4652,3821,0,0,weekend,31
5379,2023-05-06,Boavista,Estoril,6413,5849,6413,0,0,weekend,31
60289,2023-05-06,Benfica,Braga,56434,59813,56434,1,0,weekend,31
579,2023-05-06,Santa Clara,Gil Vicente,2368,782,2368,0,0,weekend,31
20031,2023-05-07,Vitoria de Guimaraes,Vizela,15408,19465,15408,0,0,weekend,31
4791,2023-05-07,Pacos de Ferreira,Sporting CP,4563,5482,4563,0,1,weekend,31
8641,2023-05-07,Maritimo,Rio Ave,8388,9349,8388,0,0,weekend,31
3681,2023-05-08,Famalicao,Chaves,3729,4039,3729,0,0,weekday,31
4092,2023-05-08,Arouca,FC Porto,1675,1503,1675,0,1,weekday,31
3265,2023-05-12,Gil Vicente,Boavista,4763,7844,4763,0,0,weekend,32
2475,2023-05-13,Chaves,Pacos de Ferreira,4041,5401,4041,0,0,weekend,32
2717,2023-05-13,Vizela,Famalicao,3350,3611,3350,0,0,weekend,32
4404,2023-05-13,Portimonense,Benfica,1853,1269,1853,0,1,weekend,32
27130,2023-05-13,Sporting CP,Maritimo,28766,28877,28766,1,0,weekend,32
4001,2023-05-14,Rio Ave,Vitoria de Guimaraes,2824,3061,2824,0,0,weekend,32
16442,2023-05-14,Braga,Santa Clara,15493,16570,15493,0,0,weekend,32
35203,2023-05-14,FC Porto,Casa Pia AC,41723,41478,41723,1,0,weekend,32
2826,2023-05-15,Estoril,Arouca,2489,2508,2489,0,0,weekday,32
10181,2023-05-19,Maritimo,Vizela,8404,9003,8404,0,0,weekend,33
4992,2023-05-20,Famalicao,FC Porto,3726,3922,3726,0,1,weekend,33
9265,2023-05-20,Boavista,Braga,6349,5798,6349,0,0,weekend,33
1993,2023-05-20,Arouca,Chaves,1826,2518,1826,0,0,weekend,33
635,2023-05-20,Santa Clara,Portimonense,2256,671,2256,0,0,weekend,33
22733,2023-05-21,Vitoria de Guimaraes,Gil Vicente,15697,18903,15697,0,0,weekend,33
302,2023-05-21,Casa Pia AC,Estoril,3617,4027,3617,0,0,weekend,33
2032,2023-05-21,Pacos de Ferreira,Rio Ave,4578,5878,4578,0,0,weekend,33
39348,2023-05-21,Sporting CP,Benfica,28664,27386,28664,1,1,weekend,33
3037,2023-05-26,Rio Ave,Famalicao,2897,3017,2897,0,0,weekend,34
3309,2023-05-26,Vizela,Sporting CP,3310,3514,3310,0,1,weekend,34
2272,2023-05-27,Gil Vicente,Casa Pia AC,4669,6240,4669,0,0,weekend,34
3135,2023-05-27,Chaves,Boavista,3943,4408,3943,0,0,weekend,34
2736,2023-05-27,Estoril,Maritimo,2510,2913,2510,0,0,weekend,34
64012,2023-05-27,Benfica,Santa Clara,56675,60118,56675,1,0,weekend,34
42417,2023-05-27,FC Porto,Vitoria de Guimaraes,41316,41279,41316,1,0,weekend,34
867,2023-05-27,Portimonense,Arouca,2013,2309,2013,0,0,weekend,34
14481,2023-05-27,Braga,Pacos de Ferreira,15553,16881,15553,0,0,weekend,34
19184,2023-08-11,Braga,Famalicao,15490,15643,14331,0,0,weekend,1
3953,2023-08-12,Farense,Casa Pia AC,11951,11951,11951,0,0,weekend,1
37152,2023-08-12,Sporting CP,Vizela,29292,31974,23358,1,0,weekend,1
3606,2023-08-12,Gil Vicente,Portimonense,4528,5744,2235,0,0,weekend,1
3044,2023-08-13,Rio Ave,Chaves,2906,3112,3244,0,0,weekend,1
4300,2023-08-13,Estrela da Amadora,Vitoria de Guimaraes,11951,11951,11951,0,0,weekend,1
1752,2023-08-13,Arouca,Estoril,1836,2609,764,0,0,weekend,1
5674,2023-08-14,Moreirense,FC Porto,11951,11951,11951,0,1,weekday,1
21320,2023-08-14,Boavista,Benfica,6520,6968,10939,0,1,weekday,1
6981,2023-08-18,Casa Pia AC,Sporting CP,3422,625,10509,0,1,weekend,2
2034,2023-08-19,Portimonense,Boavista,1945,2183,2590,0,0,weekend,2
58479,2023-08-19,Benfica,Estrela da Amadora,57107,60779,57107,1,0,weekend,2
5443,2023-08-19,Chaves,Braga,3896,2687,5454,0,0,weekend,2
